,MMS,age_bl,cdr,cdr_global,diagnosis,diagnosis_bl,education_level,sex
1.0,-0.04602852334954827,0.11971515480507555,-0.028656396876544116,-0.028656396876544116,-0.09535337068895636,-0.09535337068895636,0.022925782726948726,0.05742425771004127
2.0,-0.07130106216043938,0.17125196351095118,-0.016174119467098985,-0.016174119467098985,-0.10603166104381768,-0.10603166104381768,0.06686504219754003,0.14978829196013793
3.0,-0.056788426644086225,0.11674283661841242,0.007809317585784341,0.007809317585784341,-0.07789626994971796,-0.07789626994971796,0.09087276957522926,0.1628219466106292
4.0,-0.08602129239971829,0.18403585823830534,0.025415882186899077,0.025415882186899077,-0.05877869226048626,-0.05877869226048626,0.06370609888821435,0.17154419381385702
5.0,-0.060030907108587224,0.14877224841858172,-0.0021373929873662384,-0.0021373929873662384,-0.07652612646105032,-0.07652612646105032,0.08488006822912487,0.12636378871541049
6.0,-0.03529159684269468,0.1426018380971881,-0.02610425958770542,-0.02610425958770542,-0.12146414658959616,-0.12146414658959616,0.09438012880680506,0.13823219676940257
7.0,-0.03047303402376252,0.06306736727427277,-0.039858045253875915,-0.039858045253875915,-0.1364544446478804,-0.1364544446478804,0.11149588536956523,0.12514915680662247
8.0,-0.045320812920234224,0.10920507708165132,-0.008016993862542033,-0.008016993862542033,-0.06389950866401646,-0.06389950866401646,0.05010126511029709,0.09104999232338033
9.0,-0.056267136444049626,0.1687747354038149,-0.004861533842056056,-0.004861533842056056,-0.08244950185783387,-0.08244950185783387,0.06729604667032357,0.14048457963203123
10.0,-0.06381271576437464,0.18836382318745334,0.014405204523716861,0.014405204523716861,-0.062278429200648903,-0.062278429200648903,0.0698111451898221,0.1500236216146939
11.0,-0.10177621156142759,0.18436311689074875,0.06906096169636028,0.06906096169636028,0.015998645988182562,0.015998645988182562,0.04482965313628949,0.14739999006502072
12.0,-0.03002910241051075,0.172910016564075,-0.008968983297206964,-0.008968983297206964,-0.10307726012168192,-0.10307726012168192,0.06600765212822984,0.15035263980360786
13.0,-0.04033169517691232,0.172535264621734,-0.013225133595889144,-0.013225133595889144,-0.10853934874258969,-0.10853934874258969,0.06417596675675805,0.14105576831231384
14.0,-0.01717645916602325,0.14942969748863152,-0.02031063431202907,-0.02031063431202907,-0.10063532497271065,-0.10063532497271065,0.0366032103806105,0.1175061414235816
15.0,0.01300616172748213,0.16714503316738005,-0.03310586927990602,-0.03310586927990602,-0.13316611889101304,-0.13316611889101304,0.040905012576077066,0.14439081756644295
16.0,-0.04842530515519679,0.17849434580590956,-0.01753639849953788,-0.01753639849953788,-0.1086007274680799,-0.1086007274680799,0.08982331596509478,0.14197465849970406
17.0,-0.03123304563220974,0.12596362832889774,-0.025095791445344268,-0.025095791445344268,-0.10191030842072149,-0.10191030842072149,0.10724520850340875,0.10782290770184401
18.0,-0.03479415095620946,0.1208910791814665,-0.020803594440790097,-0.020803594440790097,-0.08150817884093862,-0.08150817884093862,0.09788936510780685,0.08165850436560154
19.0,-0.058528929126568006,0.1610415781423084,0.011124008968540393,0.011124008968540393,-0.05011426503637613,-0.05011426503637613,0.07377710204458657,0.11878510949473338
20.0,-0.04327166146523957,0.14088422115048072,-0.012596667413287601,-0.012596667413287601,-0.07426820980016023,-0.07426820980016023,0.0889659464191013,0.09222683042804976
21.0,-0.0826359258328033,0.15278276371691935,0.02880285958819055,0.02880285958819055,-0.027986313424043754,-0.027986313424043754,0.0755857640203678,0.09812283212397027
22.0,-0.05689885475664708,0.14546368657192107,0.0034993759080284422,0.0034993759080284422,-0.05275702956250992,-0.05275702956250992,0.0802321905387444,0.08944392773065396
23.0,-0.05370569067705414,0.13778924437809273,0.0006713226561790279,0.0006713226561790279,-0.05850467203987634,-0.05850467203987634,0.08282121345157524,0.08943214487369693
24.0,-0.11390809185515226,0.16534594384788232,0.06543665028843346,0.06543665028843346,0.012717018961142815,0.012717018961142815,0.05221910758508152,0.11925810293434175
25.0,-0.08539855120775848,0.1605201033685584,0.014778770791180677,0.014778770791180677,-0.06253314366208206,-0.06253314366208206,0.0615286808357365,0.12220868122274102
26.0,-0.11330688256387236,0.17959102337803093,0.04426957097220847,0.04426957097220847,-0.024048227928119476,-0.024048227928119476,0.06633099287991151,0.13158143280931273
27.0,-0.08551624759772666,0.1809094195476519,0.007786202441542286,0.007786202441542286,-0.06413405525847417,-0.06413405525847417,0.022585735970011993,0.11440560913163161
28.0,-0.07137955487389619,0.13767057603776647,-0.0024871038102498846,-0.0024871038102498846,-0.06872270869220866,-0.06872270869220866,0.03221764764278851,0.0982954478713363
29.0,-0.0641266831008003,0.1515104333480655,-0.016890876456982982,-0.016890876456982982,-0.09245043649964593,-0.09245043649964593,0.07228120269475544,0.10672228413672236
30.0,-0.03941996591333709,0.13364804194769042,-0.03251710743316487,-0.03251710743316487,-0.10066596097561507,-0.10066596097561507,0.09450471806970427,0.08649473293911382
31.0,-0.020992172618616176,0.10462109575764504,-0.035492280231995424,-0.035492280231995424,-0.09198648976063793,-0.09198648976063793,0.1019823217579754,0.06325780665625846
32.0,-0.04131830881335311,0.14080725968950586,-0.029902384969732104,-0.029902384969732104,-0.09860657041523765,-0.09860657041523765,0.09731918862243645,0.08786286604815585
33.0,-0.048094648843950955,0.1179210352176332,-0.007234690678748193,-0.007234690678748193,-0.056044910065416134,-0.056044910065416134,0.03674121697035193,0.0780191548751697
34.0,-0.06917606388212667,0.16945953659826848,0.004394235556712924,0.004394235556712924,-0.05060467013481547,-0.05060467013481547,0.027241161441793532,0.10658273650671563
35.0,-0.05168838713379359,0.15048770081039053,-0.016635174776652197,-0.016635174776652197,-0.07730953508006462,-0.07730953508006462,0.06309231721295469,0.09223007616168802
36.0,-0.05961031966353769,0.13285626660766167,0.006360654844661568,0.006360654844661568,-0.036943209167375764,-0.036943209167375764,0.005934317404670983,0.08275414409529963
37.0,-0.07467133999261329,0.13820650458931663,0.03743613166729556,0.03743613166729556,0.012533834296436874,0.012533834296436874,-0.05756237726924004,0.08224833231553075
38.0,-0.07700300562821094,0.17128141853348913,0.020012826129085587,0.020012826129085587,-0.02954248842697748,-0.02954248842697748,-0.01573792353277599,0.10993335020607214
39.0,-0.07280772189493308,0.1658235290714094,0.009837041809710326,0.009837041809710326,-0.042700278307015435,-0.042700278307015435,0.011847284941690614,0.10609114247181783
40.0,-0.07927250989153148,0.17418284062739345,0.018872128264705593,0.018872128264705593,-0.033558227894533714,-0.033558227894533714,0.00780933580055073,0.1081222281254479
41.0,-0.07929234694756025,0.1732378790990679,0.02435737794019359,0.02435737794019359,-0.026374220522411583,-0.026374220522411583,-0.01318271839665596,0.11460617624543802
42.0,-0.07794110541317023,0.18423964321000996,0.022797402086091333,0.022797402086091333,-0.02463500850182373,-0.02463500850182373,-0.020011107331255065,0.1182613265378666
43.0,-0.07291040690542325,0.16989558297246463,0.011300996211520125,0.011300996211520125,-0.044239971913710686,-0.044239971913710686,0.01644511647889251,0.11099999889153585
44.0,-0.08425616736190043,0.1810981054251329,0.021886757335519865,0.021886757335519865,-0.03741700804771054,-0.03741700804771054,0.032977756916166605,0.11280405303964006
45.0,-0.04093403483158884,0.1301998865357221,-0.016409054717547403,-0.016409054717547403,-0.07571581838509125,-0.07571581838509125,0.08001572339259179,0.08280814127179285
46.0,-0.024488559813015145,0.10966067917735708,-0.02839077035221024,-0.02839077035221024,-0.08296522168857437,-0.08296522168857437,0.09164595671104496,0.06412905642256908
47.0,-0.02288690263452165,0.10668808935885576,-0.028896048218222316,-0.028896048218222316,-0.08381900314023724,-0.08381900314023724,0.09169016719842236,0.06517999613770913
48.0,-0.024742480369880467,0.1089173742718351,-0.027085317992713295,-0.027085317992713295,-0.08189504703540228,-0.08189504703540228,0.08937524093240395,0.0685333458433309
total_volume,-0.06963319702393847,0.17723646531146728,-0.00918458496408186,-0.00918458496408186,-0.09387364687901725,-0.09387364687901725,0.07508406000636866,0.1205492924872656
